"player_name","team_abbrev","player_label"
"A.J. Thomas","STL","A.J. Thomas (STL)"
"Aaron Monteiro","CLB","Aaron Monteiro (CLB)"
"Abdul Beecham","DAL","Abdul Beecham (DAL)"
"Abraham Beauplan","STL","Abraham Beauplan (STL)"
"Abram Smith","DC","Abram Smith (DC)"
"Adam Plant Jr.","CLB","Adam Plant Jr. (CLB)"
"Adrian Ealy","DC","Adrian Ealy (DC)"
"Aidan Sayin","CLB","Aidan Sayin (CLB)"
"Ajene Harris","ARL","Ajene Harris (ARL)"
"Akeem Dent","CLB","Akeem Dent (CLB)"
"Alec Lindstrom","LOU","Alec Lindstrom (LOU)"
"Alex Akingbulu","ARL","Alex Akingbulu (ARL)"
"Alex Cook","BHAM","Alex Cook (BHAM)"
"Alex Matheson","ORL","Alex Matheson (ORL)"
"Alize Mack","CLB","Alize Mack (CLB)"
"Allan George","ORL","Allan George (ORL)"
"Amani Bledsoe","BHAM","Amani Bledsoe (BHAM)"
"Andrew Dowell","ARL","Andrew Dowell (ARL)"
"Andrew Parker","ORL","Andrew Parker (ORL)"
"Andrew Raym","BHAM","Andrew Raym (BHAM)"
"Anthony Butler","COL","Anthony Butler (COL)"
"Anthony Hines III","HOU","Anthony Hines III (HOU)"
"Anthony McFarland Jr.","BHAM","Anthony McFarland Jr. (BHAM)"
"Antonio Grier Jr.","LOU","Antonio Grier Jr. (LOU)"
"Antonio Ortiz","ARL","Antonio Ortiz (ARL)"
"Antwan Davis","COL","Antwan Davis (COL)"
"Antwane Wells","CLB","Antwane Wells (CLB)"
"Antwuan Jackson Jr.","ARL","Antwuan Jackson Jr. (ARL)"
"Armani Marsh","ARL","Armani Marsh (ARL)"
"Armani Rogers","HOU","Armani Rogers (HOU)"
"Armani Taylor-Prioleau","BHAM","Armani Taylor-Prioleau (BHAM)"
"Aron Cruickshank","ORL","Aron Cruickshank (ORL)"
"Austin Reed","ARL","Austin Reed (ARL)"
"Avery Jones","HOU","Avery Jones (HOU)"
"Avery Young","HOU","Avery Young (HOU)"
"Azizi Hearn","DC","Azizi Hearn (DC)"
"B.J. Mayes","HOU","B.J. Mayes (HOU)"
"Baylor Cupp","ARL","Baylor Cupp (ARL)"
"Ben Bresnahan","DC","Ben Bresnahan (DC)"
"Ben Wooldridge","STL","Ben Wooldridge (STL)"
"Benny Snell","LOU","Benny Snell (LOU)"
"Birmingham Stallions","BHAM","Birmingham Stallions (BHAM)"
"Blake Jackson","STL","Blake Jackson (STL)"
"Bless Harris","CLB","Bless Harris (CLB)"
"Bobby Price","ARL","Bobby Price (ARL)"
"Boogie Basham","DC","Boogie Basham (DC)"
"Brad Robbins","CLB","Brad Robbins (CLB)"
"Bradley Ashmore","STL","Bradley Ashmore (STL)"
"Brandon Sebastian","ORL","Brandon Sebastian (ORL)"
"Brandon Silvers","STL","Brandon Silvers (STL)"
"Brandon Smith","DC","Brandon Smith (DC)"
"Braylon Sanders","DC","Braylon Sanders (DC)"
"Brendan Hall","ARL","Brendan Hall (ARL)"
"Brian Abraham","DC","Brian Abraham (DC)"
"Brian Hightower","DAL","Brian Hightower (DAL)"
"Briley Moore","DC","Briley Moore (DC)"
"Bryce Benhart","ORL","Bryce Benhart (ORL)"
"Bryce Hall","LOU","Bryce Hall (LOU)"
"Bryce Thompson","DC","Bryce Thompson (DC)"
"Caeleb Bass","HOU","Caeleb Bass (HOU)"
"Caeveon Patton","CLB","Caeveon Patton (CLB)"
"Caleb Jones","COL","Caleb Jones (COL)"
"Cam Camper","ORL","Cam Camper (ORL)"
"Cam Carter","HOU","Cam Carter (HOU)"
"Cam Echols-Luper","BHM","Cam Echols-Luper (BHM)"
"Cam Gill","LOU","Cam Gill (LOU)"
"Cam McDonald","CLB","Cam McDonald (CLB)"
"Cam Smith","CLB","Cam Smith (CLB)"
"Cam Sutton","HOU","Cam Sutton (HOU)"
"Cameron Dantzler","LOU","Cameron Dantzler (LOU)"
"Carlos Davis","STL","Carlos Davis (STL)"
"Carlton Johnson","HOU","Carlton Johnson (HOU)"
"Carter Bell","LOU","Carter Bell (LOU)"
"Casey Rogers","DC","Casey Rogers (DC)"
"Celestin Haba","COL","Celestin Haba (COL)"
"Chandler Rogers","LOU","Chandler Rogers (LOU)"
"Chantz Williams","DAL","Chantz Williams (DAL)"
"Charlie Thomas III","HOU","Charlie Thomas III (HOU)"
"Chim Okorafor","DAL","Chim Okorafor (DAL)"
"Chris Chernak Jr.","BHM","Chris Chernak Jr. (BHM)"
"Chris Claybrooks","ORL","Chris Claybrooks (ORL)"
"Chris Collins","ORL","Chris Collins (ORL)"
"Chris Garrett","ORL","Chris Garrett (ORL)"
"Chris Glaser","CLB","Chris Glaser (CLB)"
"Chris Pierce Jr.","LOU","Chris Pierce Jr. (LOU)"
"Chris Rowland","ORL","Chris Rowland (ORL)"
"Chris Steele","ARL","Chris Steele (ARL)"
"Christian Matthew","ORL","Christian Matthew (ORL)"
"Christian McCarroll","DC","Christian McCarroll (DC)"
"Christophe Atkinson","STL","Christophe Atkinson (STL)"
"Christopher Allen","HOU","Christopher Allen (HOU)"
"Christopher Hinton","LOU","Christopher Hinton (LOU)"
"Chuck Filiaga","CLB","Chuck Filiaga (CLB)"
"Clarence Lewis","HOU","Clarence Lewis (HOU)"
"Cohl Cabral","CLB","Cohl Cabral (CLB)"
"Colby Wadman","BHAM","Colby Wadman (BHAM)"
"Cole Schneider","ORL","Cole Schneider (ORL)"
"Colton Theaker","ARL","Colton Theaker (ARL)"
"Columbus Aviators","CLB","Columbus Aviators (CLB)"
"Corey Mayfield Jr.","LOU","Corey Mayfield Jr. (LOU)"
"Corey Stewart","STL","Corey Stewart (STL)"
"Cornell Powell","DC","Cornell Powell (DC)"
"Curtis Hodges","ARL","Curtis Hodges (ARL)"
"Curtis Jacobs","DC","Curtis Jacobs (DC)"
"D.J. Miller Jr.","CLB","D.J. Miller Jr. (CLB)"
"Dae Dae Hunter","ARL","Dae Dae Hunter (ARL)"
"Daewood Davis","BHAM","Daewood Davis (BHAM)"
"Dallas Renegades","ARL","Dallas Renegades (ARL)"
"DaMarcus Mitchell","ARL","DaMarcus Mitchell (ARL)"
"Damon Arnette","HOU","Damon Arnette (HOU)"
"Daniel Grzesiak","LOU","Daniel Grzesiak (LOU)"
"Daniel Isom","STL","Daniel Isom (STL)"
"Daniel Morrison","STL","Daniel Morrison (STL)"
"Darien Butler","ORL","Darien Butler (ORL)"
"DaRon Gilbert","BHAM","DaRon Gilbert (BHAM)"
"Darrius Moragne","ARL","Darrius Moragne (ARL)"
"Dashaun White","ORL","Dashaun White (ORL)"
"Davion Ross","BHAM","Davion Ross (BHAM)"
"DC Defenders","DC","DC Defenders (DC)"
"Deandre Baker","DC","Deandre Baker (DC)"
"Deantre Prince","LOU","Deantre Prince (LOU)"
"Dee Anderson","ORL","Dee Anderson (ORL)"
"Deion Jennings","ORL","Deion Jennings (ORL)"
"Delontae Scott","ORL","Delontae Scott (ORL)"
"Demone Harris","STL","Demone Harris (STL)"
"Dennis Johnson","DC","Dennis Johnson (DC)"
"Denzel Mims","ARL","Denzel Mims (ARL)"
"Deon Cain","BHAM","Deon Cain (BHAM)"
"Deon Jackson","DC","Deon Jackson (DC)"
"Deontay Anderson","DC","Deontay Anderson (DC)"
"Deontay Burnett","ARL","Deontay Burnett (ARL)"
"Derek Parish","DC","Derek Parish (DC)"
"Derick Roberson","DC","Derick Roberson (DC)"
"Desmond Little","BHM","Desmond Little (BHM)"
"DeVere Levelston","LOU","DeVere Levelston (LOU)"
"Devin Ross","CLB","Devin Ross (CLB)"
"Devonnsha Maxwell","DC","Devonnsha Maxwell (DC)"
"Devonta Davis","DC","Devonta Davis (DC)"
"Dohnovan West","HOU","Dohnovan West (HOU)"
"Domenique Davis","ARL","Domenique Davis (ARL)"
"Dominic Boyd","HOU","Dominic Boyd (HOU)"
"Donald Payne","ARL","Donald Payne (ARL)"
"Donovan Smith","BHAM","Donovan Smith (BHAM)"
"Dorian Thompson-Robinson","ORL","Dorian Thompson-Robinson (ORL)"
"Drake Stoops","ARL","Drake Stoops (ARL)"
"Durrell Johnson","DC","Durrell Johnson (DC)"
"Dyontae Johnson","BHAM","Dyontae Johnson (BHAM)"
"Earl Bostick Jr.","LOU","Earl Bostick Jr. (LOU)"
"Easop Winston Jr.","CLB","Easop Winston Jr. (CLB)"
"Ekow Boye-Doe","DC","Ekow Boye-Doe (DC)"
