Orlando Storm,ORL,DST
Louisville Kings,LOU,DST
Columbus Aviators,CLB,DST
Birmingham Stallions,BHAM,DST
Houston Gamblers,HOU,DST
Dallas Renegades,ARL,DST
DC Defenders,DC,DST
St. Louis Battlehawks,STL,DST
Taulia Tagovailoa,HOU,QB
Jerron Cage,CLB,DL
Quashon Fuller,CLB,DL
Brad Robbins,CLB,P
Chris Collins,ORL,DL
Boogie Basham,DC,DL
Major Burns,HOU,DB
Nate Matlack,LOU,DL
T.K. McLendon,LOU,DL
Khairi Manns,DC,DL
Leonard Payne,STL,DL
T.J. Smith,ORL,DL
Jalen White,HOU,RB
Baylor Cupp,ARL,TE
Shane Calhoun,STL,TE
Demone Harris,STL,DL
Jereme Robinson,LOU,DL
James Robinson,LOU,RB
Zach Davidson,LOU,TE
Tyler Hudson,LOU,WR
Christian McCarroll,DC,DL
LaVonta Bentley,STL,LB
Celestin Haba,COL,DL
Harrison Frost,STL,QB
Antwan Davis,COL,DL
Jesse Johnson III,BHM,DB
N'Kosi Perry,LOU,QB
Kevin Strong Jr.,ARL,DL
Matthew Foster,DC,OL
Tony Fields II,CLB,LB
Gilber Edmond,HOU,DL
Ian Wheeler,LOU,RB
Steven McBride,STL,WR
Christophe Atkinson,STL,OL
Travis Martin,LOU,DB
Macklin Ayers,DC,LB
Matt Harmon,HOU,DL
Zy Alexander,HOU,DB
Kobe Hudson,HOU,WR
Mike McAllister,LOU,OL
Antonio Grier Jr.,LOU,LB
Jordan Polk,LOU,DB
Wisdom Quarshie,CLB,OL
Lucky Jackson,LOU,WR
Julian Hicks,HOU,WR
Devonta Davis,DC,DL
Teldrick Ross,LOU,DB
Marquis Waters,LOU,DB
O'Donnell Fortune,CLB,DB
Jalen Moreno-Cropper,HOU,WR
Aidan Sayin,CLB,QB
Roman Parodie,HOU,DB
Cam McDonald,CLB,TE
Bryce Hall,LOU,DB
Trey Wedig,DC,OL
Nick Kubitz,LOU,LB
Erik Ezukanma,DC,WR
Kenny Dyson,HOU,DL
Rahjai Harris,STL,RB
Preston Wilson,BHM,OL
Joey Lombard,BHM,OL
Antwane Wells,CLB,WR
Adam Plant Jr.,CLB,DL
Armani Rogers,HOU,TE
John Ross,BHAM,WR
Hank Bachmeier,ORL,QB
LaColby Tucker,DC,OL
Chantz Williams,DAL,DL
Jake Camarda,COL,P
Ryan Coe,CLB,K
Solomon Kindley,DC,OL
Cam Gill,LOU,LB
Phillip Webb,BHM,DL
Derek Parish,DC,DL
Fred Thompkins,CLB,LB
Rashard Davis,CLB,WR
Michael Hiers,BHAM,QB
